start_time,stop_time,records,partitions
2022-06-21 17:43:37.897,2022-06-21 17:43:47.401,1000000,1
2022-06-21 17:47:42.901,2022-06-21 17:47:47.194,1000000,3
2022-06-21 17:48:52.115,2022-06-21 17:48:55.118,1000000,5
2022-06-21 17:49:54.568,2022-06-21 17:49:56.609,1000000,10
2022-06-21 17:51:32.717,2022-06-21 17:52:00.585,3000000,1
2022-06-21 17:54:05.490,2022-06-21 17:54:18.025,3000000,3
2022-06-21 17:55:35.585,2022-06-21 17:55:43.844,3000000,5
2022-06-21 17:56:54.153,2022-06-21 17:56:59.387,3000000,10
2022-06-21 18:00:57.023,2022-06-21 18:01:43.182,5000000,1
2022-06-21 18:06:23.837,2022-06-21 18:06:44.115,5000000,3
2022-06-21 18:08:53.107,2022-06-21 18:09:06.840,5000000,5
2022-06-21 18:13:10.664,2022-06-21 18:13:19.274,5000000,10
2022-06-24 15:32:16.981, 2022-06-24 15:33:49.743,10000000,1
2022-06-21 18:16:22.986,2022-06-21 18:17:03.170,10000000,3
2022-06-21 18:18:57.334,2022-06-21 18:19:24.150,10000000,5
2022-06-21 18:23:31.087,2022-06-21 18:23:48.851,10000000,10
2022-06-24 15:37:51.050,2022-06-24 15:40:11.695,15000000,1
2022-06-24 15:46:33,719,2022-06-24 15:47:33,798,15000000,3
2022-06-21 18:30:35.686,2022-06-21 18:31:15.444,15000000,5
2022-06-21 18:33:13.990,2022-06-21 18:33:41.669,15000000,10
2022-06-21 18:37:56.434,2022-06-21 18:41:09.436,20000000,1
2022-06-22 10:12:28.247,2022-06-22 10:13:49.906,20000000,3
2022-06-22 10:16:21.468,2022-06-22 10:17:15.318,20000000,5
2022-06-21 18:43:44.367,2022-06-21 18:44:20.244,20000000,10

